Count	Name	Example1	Example2	Example3	Example4	Example5
2	Jubilee Decorations	Jubilee Decorations, Parliament Bldgs	Jubilee Decorations, King St east from Yonge
2	Bickford Park	Looking south down Grace Street and Bickford Park toward Harbord Street bridge in the distance	Plan — Bickford Park (film neg.)
2	Earlscourt Firehall	Earlscourt Firehall	Earlscourt Firehall
2	Riding School	Riding School, Hanlan's Point, (Commercial Department)	Colonel Plummer, Colonel Perry, Captain Mearing, and Sheila Proctor, Glen Mawr Golf and Riding School
2	Village House Hotel	Village House Hotel	Village House Hotel
2	Acting Premier	Acting Premier, Attorney-General Price, severing silk tape that officially dispatched the first coach from the Bay St motor coach terminal, (Executive Department)	Acting Premier, Attorney-General Price, severing silk tape that officially dispatched the first coach from the Bay St motor coach terminal, (Executive Department)
2	General Price	Acting Premier, Attorney-General Price, severing silk tape that officially dispatched the first coach from the Bay St motor coach terminal, (Executive Department)	Acting Premier, Attorney-General Price, severing silk tape that officially dispatched the first coach from the Bay St motor coach terminal, (Executive Department)
2	Sir Joseph	Government House Garden Party, reception of Sir Joseph and Lady Flavelle	Government House Garden Party, reception of Sir Joseph and Lady Flavelle
2	Lady Flavelle	Government House Garden Party, reception of Sir Joseph and Lady Flavelle	Government House Garden Party, reception of Sir Joseph and Lady Flavelle
2	Radial Department	Mail on 8:20 a.m. radial car, (Radial Department)	Mail on 6:45 a.m. radial car, (Radial Department)
2	Acca Patrol	Shrine parade, Acca Patrol, Richmand, Virginia	Shrine parade, Acca Patrol, Richmand, Virginia
2	Elizabeth Street Old Buildings	Rear of 114 Elizabeth Street Old Buildings	Rear of 114-120 Elizabeth Street Old Buildings
2	Newtonbrook United Church	Newtonbrook United Church, Newtonbrook, North York Twp	Newtonbrook United Church, Newton Brook, North York Twp
2	Unidentified Bank	Unidentified Bank of Montreal	Unidentified Bank of Montreal 
2	Petite Beauty Parlor	Petite Beauty Parlor, booths	Petite Beauty Parlor, waiting room
2	Gene Autry	Gene Autry visits Toronto Sick Children's Hospital	Gene Autry visits Toronto Sick Children's Hospital
2	WM Inglis	View of WM Inglis heading to the Island	View of WM Inglis ferry heading back to dock
2	Oddfellows Temple	I.O.O.F. (Oddfellows Temple)	Oddfellows Temple, Carlton Street, west of Spadina Avenue
2	Carlton Park Gym Class	Carlton Park Gym Class	Carlton Park Gym Class
2	Kenilworth Crescent	Kenilworth Crescent	Kenilworth Crescent
2	Old City Hall.	Visit of Princess Margaret to Old City Hall.  Arrival at Old City Hall.  	Visit of Princess Margaret to Old City Hall.  Arrival at Old City Hall.  
2	Colonel Grasett	Police parade, Judge Morson, Colonel Grasett, Chief Draper	Police signal system, Colonel Grasett, Chief Draper, Judge [E.M.] Morson with mounted officer
2	University Library	University Library	University Library 
2	Sam Archer	"Trainees" at Union Station, Sam Archer and Wm. Healtey	"Trainees" at Union Station, Sam Archer and Wm. Healtey
2	Wm. Healtey	"Trainees" at Union Station, Sam Archer and Wm. Healtey	"Trainees" at Union Station, Sam Archer and Wm. Healtey
2	Maurice Hook	Maurice Hook	Maurice Hook
2	Vories Fisher	Portrait photographs of Seiji Ozawa by Vories Fisher	Portrait photographs of Seiji Ozawa by Vories Fisher
2	Colonel John T. Thompson	Silver tray presented to Colonel John T. Thompson : After 56 years of service	Rameses Temple, Colonel John T. Thompson
2	Life Insurance Underwriters	Life Insurance Underwriters group, pan. right	Life Insurance Underwriters group, pan. left
2	Oscar Peterson	Oscar Peterson of Boys Club, 556 Bathurst	Oscar Peterson
2	Dorothy Prior	Olympics team, left to right: Myrtle Cook, Jean Thompson, Ethel Smith, Florence Bell, Ethel Catherwood, Fannie Rosenfeld, Miss A.E.M. Parkes (Chaperone) and Dorothy Prior, waving	Olympics team, "Teddy" Oke, Dorothy Prior, Alex Duff
2	British Cordite Co.	Munitions workers at British Cordite Co., Nobel - Parry Sound	Workers at British Cordite Co., Nobel
2	Parks Committee	Parks Committee	Parks Committee
2	Brakesman Ryckman	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks
2	Baggageman Cox	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks
2	Conductor Huff	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks
2	Engineer Brown	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks
2	Fireman Franks	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks	Viaduct opening, Canadian National Railways crew : Brakesman Ryckman, Baggageman Cox, Conductor Huff, Engineer Brown, Fireman Franks
2	R.B. Dargavel	Masonic Grand Lodge, R.B. Dargavel and Malone, K.C., close	Masonic Grand Lodge, R.B. Dargavel passing through ranks
2	Boiler Interior	John Street Pumping station Boiler Interior	John Street Pumping station Boiler Interior
2	Betty Wily	Skating Carnival, Eleanor Barton, Betty Wily, ballet	Skating Carnival, Louise Bertram and Betty Wily, ballet
2	Oklahoma City	Tennis Players, Arthur Voss, Harold Thummen, Oklahoma City, Okla., portrait	American Prison Association, Mrs. E. Forrest, Mrs. J.E. King, San Antonio, Mrs. N. Bassett, Oklahoma City
2	J.I. Stewart	Upper Canada College centenary, J.I. Stewart, J.W. Magladery	Upper Canada College [athletic meet], J.I. Stewart, W.J. Northgrave, senior champion, M.E. George, junior champion
2	La Salle	La Salle touring car in orchard	La Salle car in orchard, Whitby
2	Yellow Coach	Yellow Coach, modified 1925, model Y, (Garage Department)	Deluxe Coach, mounted on Yellow Coach chassis
2	Hydro Iron	Hydro Iron	Hydro Iron
2	G.R. Heasman	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back
2	C.T.C. Java	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back
2	L.L. Anthes	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back
2	F.W. Fraser	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back
2	C.T.C. Jamaica	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back
2	T.C. Brown	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back	Canadian Manufacturers Association, group : G.R. Heasman, C.T.C. Java, L.L. Anthes, Toronto, F.W. Fraser, C.T.C. Jamaica, front row, T.C. Brown and Hugh Dalton, Vancouver, British Columbia, back
2	Municipal Abattoir Existing Column	Municipal Abattoir Existing Column with footing before removal	Municipal Abattoir Existing Column with footing removed
2	Elmwood Hotel	Proposed addition to Elmwood Hotel	Proposed addition to Elmwood Hotel
2	Highland Park Palm House	Rochester, N.Y. - Highland Park Palm House	Rochester, N.Y. - Highland Park Palm House
2	Paul Hahn	View of Paul Hahn & Co. store, west side of Yonge Street at Gibson Avenue	Paul Hahn wedding, bride
2	A. E. Hacker	A. E. Hacker, portrait	A. E. Hacker, portrait
2	B.C. Division	C.M.A., Robert Mayhew, Post-Vice-Chairman, B.C. Division, Victoria B.C.	C.M.A., Hugh Dalton, Vancouver, secty B.C. Division
2	Weston Bakery	Weston Bakery	Weston Bakery
2	Bargain Centre	View of Eaton's Annex and Bargain Centre against Old City Hall, from James Street	View of Eaton Annex including Bargain Centre from Albert & James Street
2	David Cummings	Tent exterior - family group, David Cummings	Tent interior. David Cummings, Rhodes Avenue.
2	Mrs. Martin Baldwin's	Mrs. Martin Baldwin's house, 104 Poplar Plains Road, exterior	Mrs. Martin Baldwin's house, 104 Poplar Plains Road, interior, dining room
2	Johnson's Wax's	Peterson Productions filming advertisement for Johnson's Wax's "Winter Carnival of Bargains/Carnaval des Aubaines d'Hiver"	Peterson Productions filming advertisement for Johnson's Wax's "Winter Carnival of Bargains/Carnaval des Aubaines d'Hiver"
2	Winter Carnival	Peterson Productions filming advertisement for Johnson's Wax's "Winter Carnival of Bargains/Carnaval des Aubaines d'Hiver"	Peterson Productions filming advertisement for Johnson's Wax's "Winter Carnival of Bargains/Carnaval des Aubaines d'Hiver"
2	Banca Commerciale Italiana	Banca Commerciale Italiana of Canada	Banca Commerciale Italiana of Canada
2	Pole Vault	Pole Vault — Exhibition Grounds	Pole Vault — Exhibition Grounds
2	Valentines Day	Valentines Day, Dobson	Valentines Day, Dobson
2	Mr. Lisner	Mr. Lisner	Mr. Lisner of the Ontario Athletic Commission at Maple Leaf Gardens
2	Frantz Premier Electrical Cleaner	Frantz Premier Electrical Cleaner	Frantz Premier Electrical Cleaner
2	Miss Kim Simpson	View of a full Miss Kim Simpson tour boat	View of the Miss Kim Simpson tour boat
2	Canadian Medical Officers	Canadian Medical Officers at Christie Hospital, pan, left	Canadian Medical Officers at Christie Hospital, pan, right
2	North York Fire Department	North York Fire Department	North York Fire Department
2	David Gibson House	David Gibson House	David Gibson House
2	Cedar Rapids	Cedar Rapids, Iowa, Second Street (picture from book)	Cedar Rapids, Iowa
2	Buster Keaton	Frank Rasky with Buster Keaton	Frank Rasky with Buster Keaton
2	Boys' Home	Boys' Home — playground	Boys' Home — playground
2	Harold Crelling	"Spiff" Evans, Harold Crelling and Roy Mitchell with birthday cake at Turofsky Studio	"Spiff" Evans, Harold Crelling and Roy Mitchell with birthday cake at Turofsky Studio
2	Governor Dr. Bruce	Lieutenant-Governor Dr. Bruce and military group, Chorley Park	Lieutenant-Governor Dr. Bruce opens Casa Loma to the public
2	Monarch Aluminium Manufacturing Ltd.	Monarch Aluminium Manufacturing Ltd., 2486 Dufferin Street 	Dovercourt Electro Plating, Monarch Aluminium Manufacturing Ltd., 2482-2486 Dufferin Street at Castlefield Avenue, northwest corner
2	Lou Skuse	Lou Skuse, commercial artist	Lou Skuse, commercial artist
2	W.R. McQuade	Rameses Temple, W.R. McQuade, C.N. Saba, E.D. Grant, James Todd	Rameses Temple, W.R. McQuade, C.N. Saba, E.D. Grant, James Todd
2	C.N. Saba	Rameses Temple, W.R. McQuade, C.N. Saba, E.D. Grant, James Todd	Rameses Temple, W.R. McQuade, C.N. Saba, E.D. Grant, James Todd
2	E.D. Grant	Rameses Temple, W.R. McQuade, C.N. Saba, E.D. Grant, James Todd	Rameses Temple, W.R. McQuade, C.N. Saba, E.D. Grant, James Todd
2	James Todd	Rameses Temple, W.R. McQuade, C.N. Saba, E.D. Grant, James Todd	Rameses Temple, W.R. McQuade, C.N. Saba, E.D. Grant, James Todd
2	Mr. Nenn	Tony Lazzeri, Toronto Maple Leafs Baseball Club manager 1939-1940, with Newark player Mr. Nenn, Maple Leaf Stadium	Tony Lazzeri, Toronto Maple Leafs Baseball Club manager 1939-1940, with Newark player Mr. Nenn, Maple Leaf Stadium
2	Lt Col Stanley	Case 3513. Lt Col Stanley, car 3018, trailer 2783; photo taken at Eglinton Car House, May 23, 1936, at 11 a.m., (Legal Department)	Case 3513, Lt Col Stanley, car 3018, trailer 2783; photo taken at Eglinton Car House, May 23, 1936, at 11 a.m., (Legal Department)
2	Spraying Machine	Spraying Machine	Spraying Machine
2	William Dedrick	Dominion Bank, William Dedrick, manager	Dominion Bank, William Dedrick, manager
2	Eaton's Santa Claus	Eaton's Santa Claus parade, Santa Claus, general	Eaton's Santa Claus parade, Santa Claus float, general
2	Curtiss Canada	F.G. Ericson in Curtiss Canada bomber	Curtiss Canada bomber
2	Don Jail Break	Don Jail Break, Mayor Allan Lamport entering jail	Don Jail Break, Mayor Allan Lamport sketch
2	Yasis Place	Yasis Place, former corner store, 299 Wallace Avenue, at Campbell Avenue, south-east corner	Yasis Place, former corner store, 299 Wallace Avenue, at Campbell Avenue, south-east corner
2	Fiorenza Drew	Fiorenza Drew, wife of George Drew	Fiorenza Drew, wife of George Drew, at Maple Leaf Gardens
2	Scarboro Golf	Two men with drawing of Scarboro Golf and Country Club golf course	Two men with drawing of Scarboro Golf and Country Club golf course
2	Mounted Rifles	Commanding Officer Colonel Munro and selected views of the 8th Mounted Rifles and 7th Battery	Lieutenant Victor Sifton of Mounted Rifles
2	Morgan's Siding	North Yonge Railways, stop 13, Morgan's Siding, looking north, (Executive Department)	North Yonge Railways, stop 13, Morgan's Siding, looking north, (Executive Department)
2	Shirley Williams	Cooksville Fair, Baby Show, Shirley Williams, Port Credit	Cooksville Fair, Baby Show, Shirley Williams, Port Credit
2	McLaughlin Motor Company	McLaughlin Motor Company, used Packard car	McLaughlin Motor Company, used Packard car
2	Dunlop Trophy	Dunlop Trophy bicycle race, CNE grounds	Norm James in Dunlop Trophy bicycle race
2	Don Flood	Don Flood - G.T.R. bridge	Don Flood north of Eastern Avenue bridge
2	Mr. Long	Publicity portrait of Mr. Long	Publicity portrait of Mr. Long
2	Kennedy Hair Dress	Kennedy Hair Dress	Kennedy Hair Dress
2	George C. Metcalf	George C. Metcalf addressing audienceat the CNE	George C. Metcalf addressing audience at the CNE
2	Miss Mac	Bruce Peninsula, Miss Mac climbing rock crevice	Bruce Peninsula, self, M. Laing & Miss Mac on boat, Tobermory
2	Toronto Police P.S.	Toronto Police P.S. group	Toronto Police P.S. group
2	Robert Forke	Robert Forke, leader of the Progressive Party, interior	Robert Forke
2	American Curtis Hawks	American Curtis Hawks, Leaside	American Curtis Hawks line up at TFC Leaside
2	Toronto Hydro Electric System Truck Float	Toronto Hydro Electric System Truck Float	Toronto Hydro Electric System Truck Float
2	Audrey Miller	Audrey Miller at rehearsal for Audrey Miller's Ice Skating Show, Varsity Arena	Audrey Miller at rehearsal for Audrey Miller's Ice Skating Show, Varsity Arena
2	Queen's Quay Terminal	Looking south from top of Royal York Hotel to Queen's Quay Terminal building	Queen's Quay Terminal exterior and interior
2	Capt. F. J. Marigold	Opening of navigation, Capt. F. J. Marigold with topper	Opening of navigation, Capt. F. J. Marigold, Harbormaster Thos. Allen
2	Holy Name Church	Holy Name Church	Holy Name Church, Gough & Danforth
2	Peggy Davis	CNE, Music Day, Peggy Davis, Joan Richardson, Delva Connor, [descriptive]	CNE, Music Day, Peggy Davis, Joan Richardson, Delva Connor, [descriptive]
